UPC,name,id
3182550821773,Royal Canin Beagle Adult,bitiba.co.uk_071
3182550813242,Royal Canin Bichon Frise Adult,bitiba.co.uk_072
3182550719766,Royal Canin Boxer Adult,bitiba.co.uk_073
3182550743945,Royal Canin Boxer Junior,bitiba.co.uk_074
3182550719803,Royal Canin Bulldog Adult,bitiba.co.uk_075
3182550743891,Royal Canin Bulldog Junior,bitiba.co.uk_076
3182550755368,Royal Canin Cavalier King Charles Adult,bitiba.co.uk_077
3182550813051,Royal Canin Cavalier King Charles Junior,bitiba.co.uk_078
3182550728102,Royal Canin Chihuahua Adult,bitiba.co.uk_079
3182550722544,Royal Canin Chihuahua Junior,bitiba.co.uk_080
3182550702874,Royal Canin Club CC�Adult Weight Maintainance,bitiba.co.uk_081
3182550775281,Royal Canin Club Junior Optimal Digestion,bitiba.co.uk_082
3182550775274,Royal Canin Club Pro Energy HE Adult - High Energy Kibble,bitiba.co.uk_083
3182550813211,Royal Canin Cocker Junior,bitiba.co.uk_084
3182550811538,Royal Canin Cocker Spaniel Adult,bitiba.co.uk_085
3182550717335,Royal Canin Dachshund Adult,bitiba.co.uk_086
3182550722575,Royal Canin Dachshund Junior,bitiba.co.uk_087
3182550765183,Royal Canin Dalmatian Adult,bitiba.co.uk_088
3182550765169,Royal Canin Dalmatian Junior,bitiba.co.uk_089
3182550811637,Royal Canin French Bulldog Adult,bitiba.co.uk_090
3182550811705,Royal Canin French Bulldog Junior,bitiba.co.uk_091
3182550715744,Royal Canin German Shepherd Adult,bitiba.co.uk_092
3182550724159,Royal Canin German Shepherd Junior,bitiba.co.uk_093
3182550703079,Royal Canin Giant Adult,bitiba.co.uk_094
3182550779456,Royal Canin Giant Junior Active,bitiba.co.uk_095
3182550707077,Royal Canin Giant Junior,bitiba.co.uk_096
3182550707046,Royal Canin Giant Puppy,bitiba.co.uk_097
3182550778831,Royal Canin Giant Starter�- Mother & Babydog,bitiba.co.uk_098
3182550743440,Royal Canin Golden Retriever Adult,bitiba.co.uk_099
3182550751261,Royal Canin Golden Retriever Junior,bitiba.co.uk_100
3182550736046,Royal Canin Great Dane Adult,bitiba.co.uk_101
3182550822121,Royal Canin Jack Russell Junior,bitiba.co.uk_102
3182550821438,Royal Canin Jack Russell Terrier Adult,bitiba.co.uk_103
3182550787581,Royal Canin Labrador Retriever Adult Sterilised,bitiba.co.uk_104
3182550715645,Royal Canin Labrador Retriever Adult,bitiba.co.uk_105
3182550725514,Royal Canin Labrador Retriever Junior,bitiba.co.uk_106
3182550782203,Royal Canin Maltese Adult,bitiba.co.uk_107
3182550402316,Royal Canin Maxi Adult 5+,bitiba.co.uk_108
3182550401937,Royal Canin Maxi Adult,bitiba.co.uk_109
3182550803113,Royal Canin Maxi Ageing 8+,bitiba.co.uk_110
3182550773867,Royal Canin Maxi Dermacomfort,bitiba.co.uk_111
3182550853347,Royal Canin Maxi Digestive Care,bitiba.co.uk_112
3182550855549,Royal Canin Maxi Joint Care,bitiba.co.uk_113
3182550704670,Royal Canin Maxi Light Weight Care,bitiba.co.uk_114
3182550778619,Royal Canin Maxi Puppy Active,bitiba.co.uk_115
3182550402163,Royal Canin Maxi Puppy,bitiba.co.uk_116
3182550778787,Royal Canin Maxi Starter Mother & Babydog,bitiba.co.uk_117
3182550787864,Royal Canin Maxi Sterilised,bitiba.co.uk_118
3182550402286,Royal Canin Medium Adult 7+,bitiba.co.uk_119
3182550402217,Royal Canin Medium Adult,bitiba.co.uk_120
3182550802758,Royal Canin Medium Ageing 10+,bitiba.co.uk_121
3182550773836,Royal Canin Medium Dermacomfort,bitiba.co.uk_122
