clusterID,Values,Size,IDs
cluster_22677, 192330060158; 192018001305; V1Q03UT; 40989179; 2LV60UAABA; 20LB0019US; , 11,howardcomputer_887; savingslots_17; techcrave_232; savingslots_81; macmall_271; buydig_28; pcmg_416; howardcomputer_1907; antonline_260; rlsteinway_65; antonline_887; 
cluster_20685, 889349902738; C101PADS04; IN2MM811; , 3,microcart_119; antonline_728; galleon_90; 
cluster_13729, 958332294; 761531051298; , 1,walmart_592; 
cluster_12448, CKB362HO7ZPQFADC; 190781342366; , 1,massgenie_572; 
cluster_5325, FUJBQP0010000UAAAGU; , 1,techcrave_894; 
cluster_21619, 190781697794; HEZB15G4JD3T; OLAEEUPBNSUBODHX; , 4,buydig_383; antonline_128; massgenie_648; sdicraft_471; 
cluster_22284, 191114680643; 41031718; NXVCHAA019; , 5,macmall_567; antonline_855; techcrave_156; buydig_342; pcmg_686; 
cluster_2639, 6KTS8GWHHNY6I4J8; 884116283089; , 1,massgenie_532; 
cluster_5990, 889894305770; 46429958; , 1,walmart_85; 
cluster_10681, JWALCIXCOSKSG33Q; 889842233704; , 1,massgenie_88; 
cluster_12441, 191999631242; 20HN006KUS; , 1,howardcomputer_2055; 
cluster_3940, VC61YCDABDXX; , 1,portableone_333; 
cluster_620, 1NL56UT; 192018055049; , 1,savingslots_224; 
cluster_7655, FK4EILOUEAYPV46T; 192545798297; , 1,massgenie_487; 
cluster_17072, 192876083291; , 2,antonline_546; buydig_446; 
cluster_8484, GETBE23LFAIEEXX; , 1,techcrave_2546; 
cluster_14338, KDVZTQFYY2XK3Q9S; , 1,massgenie_603; 
cluster_5538, 888793239469; , 1,techcrave_537; 
cluster_2302, 55973543; 825633419810; , 1,walmart_693; 
cluster_3897, 190781185369; , 1,techcrave_311; 
cluster_17238, 15DC0010NR; 192545212489; , 2,truecurate_356; bestbuy_660; 
cluster_6816, LEN20HH003XUS; , 1,techcrave_1151; 
cluster_15, 193015850279; , 1,antonline_7; 
cluster_1522, 652012791973; 805721; 652012791973R; , 1,microcenter_90; 
cluster_2725, 20L7001VUK; 192158885735; , 1,Box_51; 
cluster_12351, VE21TDKAGHXS; , 1,portableone_341; 
cluster_1160, 400062903453; GSRFGA00122US; , 1,bestbuy_549; 
cluster_12995, CHROMEBITB013C; 191114451137; , 1,savingslots_588; 
cluster_5119, 192545265188; DC3XJ58UTCA; , 1,kaizyr_170; 
cluster_13054, 310173930; , 1,walmart_99; 
cluster_10569, SNOLAT186316SA; , 1,techcrave_2143; 
cluster_14738, 568834734; 191114361405; , 1,walmart_77; 
cluster_13822, 884116258452; , 1,techcrave_2215; 
cluster_5765, D7371F1492FFE0AC; 190780180952; , 1,massgenie_80; 
cluster_20771, 81FY000SUS; 192158787824; IN2PR688; , 4,bestbuy_731; macmall_351; microcart_154; truecurate_422; 
cluster_5126, LATI5580H8H9GC; 884116260233; , 1,truecurate_323; 
cluster_320, NXVDFAA008; 888863930524; , 1,howardcomputer_507; 
cluster_20150, TMP658M70S3; 888863680719; 884116275749; , 3,bestbuy_129; savingslots_291; truecurate_512; 
cluster_4176, 886389046569; , 1,techcrave_1773; 
cluster_2399, 40601104; 190781678328; 1NL40UTABA; , 1,pcmg_230; 
cluster_758, 646816987038; , 1,buydig_72; 
cluster_4188, 192330779296; IN4AP322; 20KH006XUS; , 1,microcart_20; 
cluster_8809, BJQN70MTHJBFQWEL; 192545798297; , 1,massgenie_408; 
cluster_1493, SE2D25DAADQX; , 1,portableone_278; 
cluster_8850, 20M70032US; 889894150653; , 1,savingslots_371; 
cluster_18652, 191628129645; , 2,antonline_386; buydig_396; 
cluster_14525, CF19ZE337BM; , 1,portableone_240; 
cluster_96, B00OBS89C8; K4K45UTABA; 611343100137; , 1,electronicsface-205.html; 
cluster_13588, ZRV03WQGGCYHFVLW; 192545207928; , 1,massgenie_768; 
cluster_3934, E200HAUB02GD; B01LT692RK; , 1,nautilusnet_41; 
cluster_12060, 657597276952; MD318LLA; , 1,bestbuy_273; 
cluster_6532, FUJEDUP72701088; , 1,techcrave_953; 
cluster_902, 191628451609; , 1,techcrave_380; 
cluster_13751, C4B9EQ41ANB2NIKS; 192545310871; , 1,massgenie_542; 
cluster_11197, LEN20MM0007US; , 1,techcrave_1415; 
cluster_20111, 192545208192; 356882632; 15DB0020NR; , 3,walmart_314; buydig_379; truecurate_451; 
cluster_11931, 4713392814921; NXGL4AA002; , 1,macmall_645; 
cluster_20677, 190780619896; 54903940; , 3,savingslots_640; antonline_359; walmart_129; 
cluster_1044, LEN20KH002JUS; , 1,techcrave_189; 
cluster_12848, 889296453017; , 1,techcrave_599; 
cluster_1936, 641719000556; 13364953; , 1,bestbuy_268; 
cluster_19775, TP202NADH01T; 889349826850; , 3,macmall_569; truecurate_42; bestbuy_345; 
cluster_21779, 884116281191; 4CH27; AFXTIH9R62VD8HUA; DEP35204CH27; , 4,techcrave_1948; massgenie_846; sdicraft_510; antonline_930; 
cluster_17594, 4P8M9; 5397184034590; NOT05064; , 2,cclonline_158; Box_125; 
cluster_1252, CF54F0961VM; , 1,howardcomputer_249; 
cluster_9488, 795962341123; , 1,galleon_19; 
cluster_10855, 4712900911640; X542UAGQ003R; , 1,Box_470; 
cluster_12019, TSHPT484U0KQ003; , 1,techcrave_1618; 
cluster_22164, 191628998227; 40791408; 2TT75UTABA; 346413040; , 5,techcrave_59; antonline_325; pcmg_457; howardcomputer_1333; walmart_919; 
cluster_13961, 889899785584; X1C38AWABA; , 1,howardcomputer_1727; 
cluster_2631, LATI5591VWWD9; 192330206945; , 1,savingslots_166; 
cluster_17287, 4UQ29U8ABA; 41601267; 193015760721; , 2,pcmg_149; macmall_199; 
cluster_20442, A51541GF3FL; 191114565308; 192545180801; , 3,savingslots_483; bestbuy_20; truecurate_243; 
cluster_1082, 985356604; 711583592829; , 1,walmart_706; 
cluster_6308, 2EV43PA; , 1,jw_125; 
cluster_12186, LEN20HH0041US; , 1,techcrave_1153; 
cluster_14225, 884116247463; B06X9YV7XS; , 1,electronicsface-187.html; 
cluster_2415, 885170331495; , 1,techcrave_1492; 
cluster_6032, 579684052; , 1,walmart_370; 
cluster_9375, 193124317915; , 1,antonline_539; 
cluster_12885, FUJXBUYP728W10S001; , 1,techcrave_986; 
cluster_4673, 14AX030NR; 192018001916; , 1,truecurate_380; 
cluster_13796, 4713883527408; NOT04730; NXGQUEK001; , 1,cclonline_133; 
cluster_2999, GETBB7CQDAAEGXX; , 1,techcrave_2448; 
cluster_7076, 290088102042; 3GP89PADEMO; , 1,jw_92; 
cluster_738, 20L50054US; 192330205153; , 1,savingslots_246; 
cluster_11713, GETBA73CCDAEFXX; , 1,techcrave_2335; 
cluster_14802, 646847562310; 366928604; , 1,walmart_245; 
cluster_18250, 887111346896; C1H51UPABA; , 2,howardcomputer_1669; techcrave_397; 
cluster_11203, SKUBC131; , 1,rlsteinway_55; 
cluster_11660, Z0UC0002Z; 608887655117; , 1,portableone_112; 
cluster_12837, LEN20LH000YUS; , 1,techcrave_245; 
cluster_1225, 41089405; 824142160619; GS73016; , 1,pcmg_666; 
cluster_10110, VC6B3DDABEXX; , 1,portableone_336; 
cluster_18669, 192330090926; 57XG1SKOIIPBZDXR; , 2,massgenie_528; antonline_624; 
cluster_13339, 90NR00N1M00460; 192876103999; 829440; , 1,microcenter_139; 
cluster_1618, 641719000419; 13364600; , 1,bestbuy_226; 
cluster_8515, 190780929322; , 1,techcrave_843; 
cluster_13274, 190781664635; 1LF92UT; , 1,truecurate_287; 
cluster_5138, 6940017399244; B01N58Y50K; NT14WDE(DeutschTastatur&Win10); , 1,gdxtech_7; 
cluster_925, KBKPE6UBZGGE39MP; , 1,massgenie_283; 
cluster_966, IN7M4895; 20H8000HUS; 190940149416; , 1,microcart_122; 
cluster_1374, 841631125720; NXGRYAA001; , 1,bestbuy_68; 
cluster_4537, FUJBUU0010000WAAACT; , 1,techcrave_920; 
cluster_14205, Z0V000086; , 1,portableone_56; 
cluster_2829, 823789786060; , 1,ebay_106; 
cluster_4404, PYJEFB7O2QTQDBJU; , 1,massgenie_654; 
cluster_527, 652012757368; 716191; 652012757368R; , 1,microcenter_11; 
cluster_13971, 191200416354; 20JF000LUS; , 1,howardcomputer_1879; 
cluster_874, 3KA31AWABA; 192018822405; , 1,howardcomputer_2123; 
cluster_8259, 889661161387; , 1,techcrave_1621; 
