clusterID,Size,IDs,,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,clusterID,Size,,,,,,
cluster_18430,6,buydig_0387,massgenie_0663,antonline_0345,cluster_18430,6,howardcomputers_0052,cluster_18430,6,abt_0040,cluster_18430,6,sdicraft_0263,cluster_18430,6,,cluster_18430,6,,cluster_18430,6,,cluster_18430,6,,cluster_18430,6,,,,,,
cluster_18403,6,pcmg_0240,antonline_0341,buydig_0189,cluster_18403,6,kaizyr_0216,cluster_18403,6,macmall_0314,cluster_18403,6,massgenie_0455,cluster_18403,6,,cluster_18403,6,,cluster_18403,6,,cluster_18403,6,,cluster_18403,6,,,,,,
cluster_18364,6,buydig_0153,howardcomputers_0719,techcrave_0154,cluster_18364,6,pcmg_0639,cluster_18364,6,savingslots_0576,cluster_18364,6,truecurate_0226,cluster_18364,6,,cluster_18364,6,,cluster_18364,6,,cluster_18364,6,,cluster_18364,6,,,,,,
cluster_18368,6,techcrave_0094,massgenie_0415,massgenie_0324,cluster_18368,6,pcmg_0672,cluster_18368,6,antonline_0249,cluster_18368,6,buydig_0451,cluster_18368,6,,cluster_18368,6,,cluster_18368,6,,cluster_18368,6,,cluster_18368,6,,,,,,
cluster_18369,6,massgenie_0652,buydig_0200,pcmg_0466,cluster_18369,6,massgenie_0653,cluster_18369,6,antonline_0150,cluster_18369,6,massgenie_0746,cluster_18369,6,,cluster_18369,6,,cluster_18369,6,,cluster_18369,6,,cluster_18369,6,,,,,,
cluster_18387,6,howardcomputers_0539,truecurate_0224,savingslots_0463,cluster_18387,6,antonline_0285,cluster_18387,6,macmall_0434,cluster_18387,6,buydig_0038,cluster_18387,6,,cluster_18387,6,,cluster_18387,6,,cluster_18387,6,,cluster_18387,6,,,,,,
cluster_18459,6,savingslots_0283,antonline_0779,techcrave_1833,cluster_18459,6,massgenie_0820,cluster_18459,6,microcart_0037,cluster_18459,6,truecurate_0349,cluster_18459,6,,cluster_18459,6,,cluster_18459,6,,cluster_18459,6,,cluster_18459,6,,,,,,
cluster_18386,6,buydig_0215,howardcomputers_1079,macmall_0352,cluster_18386,6,antonline_0896,cluster_18386,6,microcenter_0049,cluster_18386,6,pcmg_0501,cluster_18386,6,,cluster_18386,6,,cluster_18386,6,,cluster_18386,6,,cluster_18386,6,,,,,,
cluster_18455,6,buydig_0438,savingslots_0197,antonline_0565,cluster_18455,6,massgenie_0516,cluster_18455,6,massgenie_0504,cluster_18455,6,massgenie_0604,cluster_18455,6,,cluster_18455,6,,cluster_18455,6,,cluster_18455,6,,cluster_18455,6,,,,,,
cluster_18441,6,savingslots_0275,techcrave_0003,kaizyr_0074,cluster_18441,6,antonline_0355,cluster_18441,6,massgenie_0785,cluster_18441,6,buydig_0201,cluster_18441,6,,cluster_18441,6,,cluster_18441,6,,cluster_18441,6,,cluster_18441,6,,,,,,
cluster_18464,6,antonline_0947,microcenter_0003,pcmg_0711,cluster_18464,6,buydig_0040,cluster_18464,6,bhphotovideo_0043,cluster_18464,6,abt_0098,cluster_18464,6,,cluster_18464,6,,cluster_18464,6,,cluster_18464,6,,cluster_18464,6,,,,,,
cluster_18416,6,massgenie_0853,nautilusnet_0072,savingslots_0063,cluster_18416,6,antonline_0369,cluster_18416,6,massgenie_0172,cluster_18416,6,sdicraft_0305,cluster_18416,6,,cluster_18416,6,,cluster_18416,6,,cluster_18416,6,,cluster_18416,6,,,,,,
cluster_18282,6,buydig_0228,truecurate_0125,electronicsface_0235,cluster_18282,6,savingslots_0627,cluster_18282,6,savingslots_0622,cluster_18282,6,antonline_1205,cluster_18282,6,,cluster_18282,6,,cluster_18282,6,,cluster_18282,6,,cluster_18282,6,,,,,,
cluster_18442,6,pcmg_0185,cukusa_0078,massgenie_0724,cluster_18442,6,antonline_0215,cluster_18442,6,macmall_0326,cluster_18442,6,techcrave_0092,cluster_18442,6,,cluster_18442,6,,cluster_18442,6,,cluster_18442,6,,cluster_18442,6,,,,,,
cluster_18457,6,buydig_0406,pcmg_0192,techcrave_1705,cluster_18457,6,macmall_0333,cluster_18457,6,antonline_0716,cluster_18457,6,savingslots_0433,cluster_18457,6,,cluster_18457,6,,cluster_18457,6,,cluster_18457,6,,cluster_18457,6,,,,,,
cluster_18406,6,truecurate_0392,howardcomputers_0883,buydig_0075,cluster_18406,6,antonline_0619,cluster_18406,6,savingslots_0579,cluster_18406,6,bhphotovideo_0027,cluster_18406,6,,cluster_18406,6,,cluster_18406,6,,cluster_18406,6,,cluster_18406,6,,,,,,
cluster_18470,6,techcrave_0138,sdicraft_0121,antonline_0428,cluster_18470,6,howardcomputers_0225,cluster_18470,6,pcmg_0202,cluster_18470,6,massgenie_0918,cluster_18470,6,,cluster_18470,6,,cluster_18470,6,,cluster_18470,6,,cluster_18470,6,,,,,,
cluster_18469,6,kaizyr_0001,antonline_1192,truecurate_0008,cluster_18469,6,bhphotovideo_0032,cluster_18469,6,sdicraft_0312,cluster_18469,6,savingslots_0641,cluster_18469,6,,cluster_18469,6,,cluster_18469,6,,cluster_18469,6,,cluster_18469,6,,,,,,
cluster_18390,6,howardcomputers_0524,abt_0088,massgenie_0869,cluster_18390,6,macmall_0499,cluster_18390,6,massgenie_0932,cluster_18390,6,antonline_0730,cluster_18390,6,,cluster_18390,6,,cluster_18390,6,,cluster_18390,6,,cluster_18390,6,,,,,,
cluster_18415,6,bhphotovideo_0007,antonline_1189,truecurate_0329,cluster_18415,6,abt_0105,cluster_18415,6,galleon_0006,cluster_18415,6,pcmg_0696,cluster_18415,6,,cluster_18415,6,,cluster_18415,6,,cluster_18415,6,,cluster_18415,6,,,,,,
cluster_18460,6,macmall_0120,buydig_0185,antonline_0153,cluster_18460,6,massgenie_0154,cluster_18460,6,pcmg_0148,cluster_18460,6,massgenie_0199,cluster_18460,6,,cluster_18460,6,,cluster_18460,6,,cluster_18460,6,,cluster_18460,6,,,,,,
cluster_18350,6,truecurate_0463,pcmg_0478,savingslots_0508,cluster_18350,6,antonline_0876,cluster_18350,6,howardcomputers_0411,cluster_18350,6,rlsteinway_0077,cluster_18350,6,,cluster_18350,6,,cluster_18350,6,,cluster_18350,6,,cluster_18350,6,,,,,,
cluster_18474,6,pcmg_0357,massgenie_0787,buydig_0465,cluster_18474,6,macmall_0216,cluster_18474,6,antonline_0239,cluster_18474,6,savingslots_0260,cluster_18474,6,,cluster_18474,6,,cluster_18474,6,,cluster_18474,6,,cluster_18474,6,,,,,,
cluster_18458,6,massgenie_0444,antonline_0291,techcrave_0091,cluster_18458,6,macmall_0207,cluster_18458,6,buydig_0323,cluster_18458,6,pcmg_0350,cluster_18458,6,,cluster_18458,6,,cluster_18458,6,,cluster_18458,6,,cluster_18458,6,,,,,,
cluster_18456,6,buydig_0421,savingslots_0127,sdicraft_0147,cluster_18456,6,massgenie_0439,cluster_18456,6,antonline_0412,cluster_18456,6,pcmg_0699,cluster_18456,6,,cluster_18456,6,,cluster_18456,6,,cluster_18456,6,,cluster_18456,6,,,,,,
cluster_18473,6,savingslots_0081,macmall_0271,pcmg_0416,cluster_18473,6,techcrave_0233,cluster_18473,6,savingslots_0082,cluster_18473,6,antonline_0887,cluster_18473,6,,cluster_18473,6,,cluster_18473,6,,cluster_18473,6,,cluster_18473,6,,,,,,
cluster_18433,6,savingslots_0472,macmall_0220,pcmg_0360,cluster_18433,6,buydig_0452,cluster_18433,6,howardcomputers_0929,cluster_18433,6,antonline_0200,cluster_18433,6,,cluster_18433,6,,cluster_18433,6,,cluster_18433,6,,cluster_18433,6,,,,,,
cluster_18176,5,buydig_0272,savingslots_0124,massgenie_0332,cluster_18176,5,massgenie_0333,cluster_18176,5,antonline_0123,cluster_18176,5,,cluster_18176,5,,cluster_18176,5,,cluster_18176,5,,cluster_18176,5,,cluster_18176,5,,,,,,
cluster_18208,5,howardcomputers_0506,macmall_0693,savingslots_0052,cluster_18208,5,cukusa_0003,cluster_18208,5,truecurate_0405,cluster_18208,5,,cluster_18208,5,,cluster_18208,5,,cluster_18208,5,,cluster_18208,5,,cluster_18208,5,,,,,,
cluster_18130,5,savingslots_0182,sdicraft_0388,massgenie_0531,cluster_18130,5,antonline_0459,cluster_18130,5,massgenie_0451,cluster_18130,5,,cluster_18130,5,,cluster_18130,5,,cluster_18130,5,,cluster_18130,5,,cluster_18130,5,,,,,,
cluster_18217,5,massgenie_0582,electronicsface_0174,massgenie_0919,cluster_18217,5,savingslots_0264,cluster_18217,5,antonline_0227,cluster_18217,5,,cluster_18217,5,,cluster_18217,5,,cluster_18217,5,,cluster_18217,5,,cluster_18217,5,,,,,,
cluster_18153,5,techcrave_0068,sdicraft_0287,pcmg_0717,cluster_18153,5,massgenie_0382,cluster_18153,5,antonline_0374,cluster_18153,5,,cluster_18153,5,,cluster_18153,5,,cluster_18153,5,,cluster_18153,5,,cluster_18153,5,,,,,,
cluster_18330,5,howardcomputers_0687,truecurate_0475,techcrave_1901,cluster_18330,5,savingslots_0593,cluster_18330,5,antonline_0769,cluster_18330,5,,cluster_18330,5,,cluster_18330,5,,cluster_18330,5,,cluster_18330,5,,cluster_18330,5,,,,,,
cluster_18255,5,antonline_0421,sdicraft_0384,savingslots_0160,cluster_18255,5,macmall_0337,cluster_18255,5,pcmg_0077,cluster_18255,5,,cluster_18255,5,,cluster_18255,5,,cluster_18255,5,,cluster_18255,5,,cluster_18255,5,,,,,,
cluster_18209,5,macmall_0328,pcmg_0362,kaizyr_0084,cluster_18209,5,buydig_0110,cluster_18209,5,antonline_0088,cluster_18209,5,,cluster_18209,5,,cluster_18209,5,,cluster_18209,5,,cluster_18209,5,,cluster_18209,5,,,,,,
cluster_18246,5,techcrave_1902,truecurate_0100,bhphotovideo_0057,cluster_18246,5,savingslots_0556,cluster_18246,5,antonline_0770,cluster_18246,5,,cluster_18246,5,,cluster_18246,5,,cluster_18246,5,,cluster_18246,5,,cluster_18246,5,,,,,,
cluster_18147,5,buydig_0199,truecurate_0076,antonline_1171,cluster_18147,5,techcrave_2121,cluster_18147,5,massgenie_0675,cluster_18147,5,,cluster_18147,5,,cluster_18147,5,,cluster_18147,5,,cluster_18147,5,,cluster_18147,5,,,,,,
cluster_18057,5,pcmg_0676,techcrave_0146,howardcomputers_0138,cluster_18057,5,antonline_0358,cluster_18057,5,massgenie_0688,cluster_18057,5,,cluster_18057,5,,cluster_18057,5,,cluster_18057,5,,cluster_18057,5,,cluster_18057,5,,,,,,
cluster_18335,5,savingslots_0093,antonline_0722,rlsteinway_0041,cluster_18335,5,massgenie_0320,cluster_18335,5,massgenie_0256,cluster_18335,5,,cluster_18335,5,,cluster_18335,5,,cluster_18335,5,,cluster_18335,5,,cluster_18335,5,,,,,,
cluster_18334,5,buydig_0143,truecurate_0082,savingslots_0489,cluster_18334,5,antonline_1061,cluster_18334,5,techcrave_1965,cluster_18334,5,,cluster_18334,5,,cluster_18334,5,,cluster_18334,5,,cluster_18334,5,,cluster_18334,5,,,,,,
cluster_18326,5,antonline_1039,howardcomputers_0704,techcrave_1981,cluster_18326,5,savingslots_0292,cluster_18326,5,buydig_0191,cluster_18326,5,,cluster_18326,5,,cluster_18326,5,,cluster_18326,5,,cluster_18326,5,,cluster_18326,5,,,,,,
cluster_18225,5,sdicraft_0461,savingslots_0003,nautilusnet_0015,cluster_18225,5,macmall_0312,cluster_18225,5,pcmg_0178,cluster_18225,5,,cluster_18225,5,,cluster_18225,5,,cluster_18225,5,,cluster_18225,5,,cluster_18225,5,,,,,,
cluster_18252,5,massgenie_0602,massgenie_0691,antonline_0426,cluster_18252,5,sdicraft_0109,cluster_18252,5,savingslots_0301,cluster_18252,5,,cluster_18252,5,,cluster_18252,5,,cluster_18252,5,,cluster_18252,5,,cluster_18252,5,,,,,,
cluster_18066,5,techcrave_1904,howardcomputers_0528,antonline_0751,cluster_18066,5,buydig_0304,cluster_18066,5,truecurate_0291,cluster_18066,5,,cluster_18066,5,,cluster_18066,5,,cluster_18066,5,,cluster_18066,5,,cluster_18066,5,,,,,,
cluster_18224,5,antonline_0253,buydig_0456,massgenie_0863,cluster_18224,5,techcrave_0089,cluster_18224,5,pcmg_0403,cluster_18224,5,,cluster_18224,5,,cluster_18224,5,,cluster_18224,5,,cluster_18224,5,,cluster_18224,5,,,,,,
