clusterID,Values,Size,IDs
cluster_22524, 190781697855; 1NL40UT; 40601110; RQVGNHIUROB7VCRG; 1JD35UTABA; HEZB15G4JD35; 961AB8DE39844E68; , 8,buydig_171; macmall_341; sdicraft_494; massgenie_163; pcmg_48; savingslots_40; antonline_340; massgenie_237; 
cluster_187, HPIG6X55UPABA; , 1,techcrave_506; 
cluster_1694, 812177027977; X230I525432010REFURBISHED; , 1,bestbuy_771; 
cluster_1332, GETBA73CDFAEIXX; , 1,techcrave_2347; 
cluster_18426, 191999250917; LATI55904WFF0; , 2,antonline_1110; savingslots_294; 
cluster_20405, 889842241952; DAL00019; , 3,howardcomputer_207; antonline_29; bestbuy_856; 
cluster_1305, B01MU7HJEI; 4250519946764; XMGP707kgy; , 1,gdxtech_78; 
cluster_16723, FX504GM-EN151T; 192876047309; 4718017047302; , 2,box_0281; box_0280; 
cluster_5056, 192545103398; 139270579; , 1,walmart_12; 
cluster_10741, MGGH3; B01DZ4NCKW; , 1,electronicsface_127; 
cluster_504, 9888; 3RB99UTABA; 192018032026; , 1,nautilusnet_24; 
cluster_5298, 19111476193; , 1,rlsteinway_10; 
cluster_492, SE4DMDDAADSX; , 1,portableone_316; 
cluster_10758, B0712467Q2; 4251246153807; , 1,gdxtech_128; 
cluster_2571, LEN20L9003JUS; , 1,techcrave_1304; 
cluster_930, LEN20L7004GUS; , 1,techcrave_1282; 
cluster_4360, LEN20K5S06D00; , 1,techcrave_1191; 
cluster_8981, 885170333079; , 1,techcrave_1463; 
cluster_9022, 4719072577186; WE638SJ248AU; , 1,jw_199; 
cluster_4106, 888182843307; , 1,techcrave_500; 
cluster_12232, B01KK17Q4G; 4260185622107; 181133; , 1,gdxtech_164; 
cluster_13594, B071XDXLPG; GX501VIXS74; , 1,nautilusnet_52; 
cluster_19551, 884116282679; , 3,techcrave_1936; buydig_318; antonline_868; 
cluster_1074, VM1W2A3A1BUS0AA; , 1,howardcomputer_383; 
cluster_9871, 192158848105; 20M5000FUS; , 1,howardcomputer_2081; 
cluster_9448, 889842191608; , 1,buydig_246; 
cluster_13923, LEN20LM0004US; , 1,techcrave_1356; 
cluster_16938, 192651172653; 20M9000YUS; , 2,antonline_781; macmall_524; 
cluster_11369, 825633441736; 56258957; , 1,walmart_659; 
cluster_20283, 191114509364; , 3,antonline_928; buydig_291; abt_35; 
cluster_12103, CF19ZC001BM; , 1,portableone_208; 
cluster_20849, N580VDDS76T; 191628411337; 889349859827; ASN580VDDS76; , 4,bestbuy_283; sdicraft_251; truecurate_276; savingslots_186; 
cluster_1216, 191999591966; , 1,techcrave_1195; 
cluster_13020, 889349770337; , 1,galleon_2; 
cluster_2108, 20M5003FUK; 192563078456; , 1,box_0059; 
cluster_9804, GETBB7CB5AAEDXX; , 1,techcrave_2439; 
cluster_17766, NDXNV; 884116282952; 40970749; , 2,howardcomputer_59; pcmg_140; 
cluster_1424, 20GAS00000; LE11EK1220GA; , 1,sdicraft_314; 
cluster_16276, 884116294276; I35673276BLKPUS; , 2,galleon_97; truecurate_470; 
cluster_11027, V2W23UT; 192018117273; , 1,savingslots_19; 
cluster_12191, 17U175NRREF; 191999394659; , 1,savingslots_470; 
cluster_16479, 884116279341; , 2,techcrave_2218; antonline_1120; 
cluster_16557, 4NM08UTABA; 41227074; 192545810418; , 2,macmall_485; pcmg_570; 
cluster_21101, WE638SJ233; WE63233; 824142163658; , 4,bestbuy_931; truecurate_293; macmall_422; howardcomputer_1487; 
cluster_7254, 190781334644; , 1,techcrave_322; 
cluster_14133, 179778111; , 1,walmart_890; 
cluster_2803, 190781089483; , 1,techcrave_302; 
cluster_17459, PC51329; 825633457584; 41442315; , 2,macmall_110; pcmg_56; 
cluster_1254, 820G231270; 825633457874; , 1,bestbuy_607; 
cluster_3422, SNOLAT186316SA; , 1,techcrave_2143; 
cluster_16112, 4015625605352; 30022555; , 2,box_0085; box_0086; 
cluster_16388, 888863929412; SF3145171UU; , 2,truecurate_393; bestbuy_117; 
cluster_6480, LEN20KH006XUS; , 1,techcrave_1221; 
cluster_8547, C70E344EAFB35BAA; , 1,massgenie_720; 
